NT	OT
Mat 1:23	Isa 7:14
Mat 2:6	Mic 5:2
Mat 2:15	Hos 11:1
Mat 2:18	Jer 31:15
Mat 3:3	Isa 40:3
Mat 4:4	Deu 8:3
Mat 4:6	Psa 91:11,12
Mat 4:7	Deu 6:16
Mat 4:10	Deu 6:13
Mat 4:10	Deu 10:20
Mat 4:15,16	Isa 9:1,2
Mat 4:15,16	Isa 42:7
Mat 5:5	Psa 37:11
Mat 5:21	Exo 20:13
Mat 5:21	Deu 5:17
Mat 5:27	Exo 20:14
Mat 5:27	Deu 5:18
Mat 5:31	Deu 24:1
Mat 5:33	Exo 20:7
Mat 5:33	Lev 19:12
Mat 5:38	Exo 21:24
Mat 5:38	Lev 24:20
Mat 5:38	Deu 19:21
Mat 5:43	Lev 19:18
Mat 5:48	Gen 17:1
Mat 7:23	Psa 6:8
Mat 8:4	Lev 14:2,3
Mat 8:17	Isa 53:4
Mat 9:13	Hos 6:6
Mat 10:35,36	Mic 7:6
Mat 11:5	Isa 35:5
Mat 11:5	Isa 29:18
Mat 11:10	Mal 3:1
Mat 11:14	Mal 4:5
Mat 12:3	1Sa 21:6
Mat 12:5	Num 28:9,10
Mat 12:7	Hos 6:6
Mat 12:18	Isa 42:1
Mat 12:18-21	Isa 42:1-4
Mat 12:40	Jon 1:17
Mat 13:14	Isa 6:9,10
Mat 13:35	Psa 78:2
Mat 15:4	Exo 20:12
Mat 15:4	Deu 5:16
Mat 15:4	Exo 21:17
Mat 15:4	Lev 20:9
Mat 15:4	Pro 20:20
Mat 15:8,9	Isa 29:13
Mat 16:4	Jon 1:17
Mat 17:10	Mal 4:5
Mat 18:15	Lev 19:17
Mat 18:16	Lev 19:15
Mat 18:16	Deu 19:15
Mat 19:4	Gen 1:27
Mat 19:5	Gen 2:24
Mat 19:7	Deu 24:1
Mat 19:18	Exo 20:12
Mat 19:19	Lev 19:18
Mat 19:26	Jer 32:17
Mat 21:5	Zec 9:9
Mat 21:9	Psa 118:26
Mat 21:13	Isa 56:7
Mat 21:13	Jer 7:11
Mat 21:16	Psa 8:2
Mat 21:33	Isa 5:1
Mat 21:42	Psa 118:22,23
Mat 22:24	Deu 25:5
Mat 22:32	Exo 3:6
Mat 22:37	Deu 6:5
Mat 22:39	Lev 19:18
Mat 22:44	Psa 110:1
Mat 23:35	Gen 4:8
Mat 23:38	Psa 69:25
Mat 23:39	Psa 118:26
Mat 24:15	Dan 9:27
Mat 24:21	Jer 30:7
Mat 24:29	Isa 13:9,10
Mat 24:29	Joe 2:10
Mat 24:35	Isa 51:16
Mat 26:31	Zec 13:7
Mat 26:60	Psa 35:11
Mat 26:67	Isa 50:6
Mat 27:9,10	Zec 11:13
Mat 27:35	Psa 22:18
Mat 27:43	Psa 22:7,8,9
Mat 27:46	Psa 22:1
Mar 1:2,3	Mal 3:1
Mar 1:2,3	Isa 40:3
Mar 1:44	Lev 14:2
Mar 2:25,26	1Sa 21:6
Mar 4:12	Isa 6:9
Mar 7:6,7	Isa 29:13
Mar 7:10	Exo 20:12
Mar 7:10	Deu 5:16
Mar 7:10	Exo 21:17
Mar 9:11	Mal 4:5
Mar 9:44	Isa 66:24
Mar 10:4	Deu 24:1
Mar 10:6	Gen 1:27
Mar 10:7	Gen 2:24
Mar 10:19	Exo 20:12
Mar 11:9	Psa 118:26
Mar 11:17	Isa 56:7
Mar 11:17	Jer 7:11
Mar 12:1	Isa 5:1
Mar 12:10,11	Psa 118:22,23
Mar 12:19	Deu 25:5
Mar 12:26	Exo 3:6
Mar 12:29,30	Deu 6:4,5
Mar 12:31	Lev 19:18
Mar 12:36	Psa 110:1
Mar 13:14	Dan 9:27
Mar 13:24	Isa 13:9,10
Mar 13:31	Isa 40:8
Mar 14:27	Zec 13:7
Mar 15:28	Isa 53:12
Mar 15:34	Psa 22:1
Luk 1:17	Mal 4:5,6
Luk 1:32	Psa 132:11
Luk 1:55	Gen 22:18
Luk 1:73	Gen 22:16
Luk 1:79	Isa 9:2
Luk 2:23	Exo 13:2
Luk 2:24	Lev 12:8
Luk 2:34	Isa 8:14,15
Luk 3:4,5,6	Isa 40:3,4,5
Luk 4:4	Deu 8:3
Luk 4:8	Deu 6:13
Luk 4:10,11	Psa 91:11,12
Luk 4:12	Deu 6:16
Luk 4:18,19	Isa 61:1,2
Luk 7:27	Mal 3:1
Luk 8:10	Isa 6:9
Luk 10:27	Deu 6:5
Luk 10:27	Lev 19:18
Luk 10:28	Lev 18:5
Luk 13:35	Psa 118:26
Luk 18:20	Exo 20:12
Luk 19:46	Isa 56:7
Luk 19:46	Jer 7:11
Luk 20:17	Psa 118:22,23
Luk 20:28	Deu 25:5
Luk 20:37	Exo 3:6
Luk 20:42,43	Psa 110:1
Luk 22:37	Isa 53:12
Luk 23:30	Hos 10:8
Luk 23:46	Psa 31:5
Jhn 1:23	Isa 40:3
Jhn 2:17	Psa 69:9
Jhn 6:31	Psa 78:24
Jhn 6:45	Isa 54:13
Jhn 10:34	Psa 82:6
Jhn 12:13	Psa 118:26
Jhn 12:14,15	Zec 9:9
Jhn 12:38	Isa 53:1
Jhn 12:40	Isa 6:9
Jhn 13:18	Psa 41:9
Jhn 15:25	Psa 69:4
Jhn 19:24	Psa 22:19
Jhn 19:28	Psa 69:21
Jhn 19:36	Exo 12:46
Jhn 19:36	Psa 34:20
Jhn 19:37	Zec 12:10
Jhn 20:9	Psa 16:10
Act 1:20	Psa 69:25
Act 1:20	Psa 109:8
Act 2:17-21	Joe 2:28-32
Act 2:25-28	Psa 16:8-10
Act 2:34	Psa 110:1
Act 3:22,23	Deu 18:15,18,19
Act 3:25	Gen 22:18
Act 4:11	Psa 118:22
Act 4:25,26	Psa 2:1,2
Act 7:3	Gen 12:1
Act 7:32	Exo 3:6
Act 7:37	Deu 18:15
Act 7:42,43	Amo 5:25,26
Act 7:49,50	Isa 66:1,2
Act 8:32,33	Isa 53:7,8
Act 13:22	Psa 89:20
Act 13:33	Psa 2:7
Act 13:34	Isa 55:3
Act 13:35	Psa 16:10
Act 13:41	Hab 1:5
Act 13:47	Isa 49:6
Act 15:16,17	Amo 9:11,12
Act 23:5	Exo 22:28
Act 28:26,27	Isa 6:9,10
Rom 1:17	Hab 2:4
Rom 2:6	Psa 62:12
Rom 2:24	Isa 52:5
Rom 3:4	Psa 51:4
Rom 3:10,11,12	Psa 14:1
Rom 3:13	Psa 5:9
Rom 3:13	Psa 140:3
Rom 3:14	Psa 10:7
Rom 3:15-18	Isa 59:7,8
Rom 3:18	Psa 36:1
Rom 4:3	Gen 15:6
Rom 4:7,8	Psa 32:1,2
Rom 4:17	Gen 17:5
Rom 4:18	Gen 15:5
Rom 7:7	Exo 20:17
Rom 8:36	Psa 44:22
Rom 9:7	Gen 21:12
Rom 9:9	Gen 18:10
Rom 9:12	Gen 25:23
Rom 9:13	Mal 1:2,3
Rom 9:15	Exo 33:19
Rom 9:17	Exo 9:16
Rom 9:20	Isa 45:9
Rom 9:25	Hos 2:23
Rom 9:26	Hos 1:10
Rom 9:27,28	Isa 10:22,23
Rom 9:29	Isa 1:9
Rom 9:33	Isa 28:16
Rom 10:5	Lev 18:5
Rom 10:6,7	Deu 30:12,13
Rom 10:8	Deu 30:14
Rom 10:11	Isa 28:16
Rom 10:13	Joe 2:32
Rom 10:15	Isa 52:7
Rom 10:16	Isa 53:1
Rom 10:18	Psa 19:4
Rom 10:19	Deu 32:21
Rom 10:20,21	Isa 65:1,2
Rom 11:3	1Ki 19:10
Rom 11:4	1Ki 19:18
Rom 11:8	Isa 29:10
Rom 11:9,10	Psa 69:22,23
Rom 11:26,27	Isa 59:20,21
Rom 11:34	Isa 40:13
Rom 11:35	Job 41:11
Rom 12:19	Deu 32:35
Rom 12:20	Pro 25:21,22
Rom 14:11	Isa 45:23
Rom 15:3	Psa 69:9
Rom 15:9	Psa 18:49
Rom 15:10	Deu 32:43
Rom 15:11	Psa 117:1
Rom 15:12	Isa 11:10
Rom 15:21	Isa 52:15
1Co 1:19	Isa 29:14
1Co 1:31	Jer 9:24
1Co 2:9	Isa 64:4
1Co 3:19	Job 5:13
1Co 3:20	Psa 94:11
1Co 5:13	Deu 17:7
1Co 9:9	Deu 25:4
1Co 10:7	Exo 32:6
1Co 10:26	Psa 24:1
1Co 14:21	Isa 28:11,12
1Co 15:25	Psa 110:1
1Co 15:27	Psa 8:6
1Co 15:32	Isa 22:13
1Co 15:45	Gen 2:7
1Co 15:54	Isa 25:8
1Co 15:55	Hos 13:14
2Co 4:13	Psa 116:10
2Co 6:2	Isa 49:8
2Co 6:16	Lev 26:11,12
2Co 6:17,18	Isa 52:11,12
2Co 8:15	Exo 16:18
2Co 9:9	Psa 112:9
2Co 10:17	Jer 9:24
2Co 13:1	Deu 19:15
Gal 3:6	Gen 15:6
Gal 3:8	Gen 12:3
Gal 3:10	Deu 27:26
Gal 3:11	Hab 2:4
Gal 3:12	Lev 18:5
Gal 3:13	Deu 21:23
Gal 3:16	Gen 22:18
Gal 4:27	Isa 54:1
Gal 4:30	Gen 21:10
Gal 5:14	Lev 19:18
Eph 4:8	Psa 68:18
Eph 4:25	Zec 8:16
Eph 4:26	Psa 4:4
Eph 5:31	Gen 2:24
Eph 6:2,3	Exo 20:12
Eph 6:17	Isa 59:17
Phl 2:10	Isa 45:23
1Ti 5:18	Deu 25:4
Heb 1:5	Psa 2:7
Heb 1:6	Psa 97:7
Heb 1:7	Psa 104:4
Heb 1:8,9	Psa 45:6,7
Heb 1:10,11,12	Psa 102:25,26,27
Heb 1:13	Psa 110:1
Heb 2:6-8	Psa 8:4-6
Heb 2:12	Psa 22:22
Heb 2:13	Isa 8:18
Heb 3:7-11	Psa 95:7-11
Heb 4:3	Psa 95:11
Heb 4:4	Gen 2:2,3
Heb 4:7	Psa 95:7,8
Heb 5:5	Psa 2:7
Heb 5:6	Psa 110:4
Heb 6:14	Gen 22:16,17
Heb 7:17,21	Psa 110:4
Heb 8:5	Exo 25:40
Heb 8:8-12	Jer 31:31-34
Heb 9:20	Exo 24:8
Heb 10:5-7	Psa 40:6-8
Heb 10:16,17	Jer 31:33,34
Heb 10:28	Deu 17:6
Heb 10:30	Deu 32:35,36
Heb 10:37,38	Hab 2:3,4
Heb 12:5,6	Pro 3:11,12
Heb 12:26	Hag 2:6
Heb 12:29	Deu 4:24
Heb 13:5	Deu 31:8
Heb 13:6	Psa 118:6
Jas 2:8	Lev 19:18
Jas 2:23	Gen 15:6
Jas 4:6	Pro 3:34
1Pe 1:16	Lev 11:44
1Pe 1:24,25	Isa 40:6
1Pe 2:6	Isa 28:16
1Pe 2:7	Psa 118:22,23
1Pe 2:22	Isa 53:9
1Pe 2:24	Isa 53:4,5
1Pe 3:10,11,12	Psa 34:12-16
1Pe 4:18	Pro 11:31
1Pe 5:5	Pro 3:34
